Experiment,Time,TR_U,READOUT_OBS1,READOUT_OBS2,READOUT_OBS3,READOUT_OBS4,READOUT_OBS5,STD_OBS1,STD_OBS2,STD_OBS3,STD_OBS4,STD_OBS5
2,365,0,0.0454917817260765,0.466301566021822,0.0112772978724,0.0107625202082128,0.0136348025115796,0.00450014507105645,0.03828528659405,0.00123122758378181,0.00102011212240347,0.00137909582669062
2,370,0,0.0446233758492296,0.376068637882834,0.0147894089812674,0.0122128147822425,0.0166336562162297,0.00450014507103793,0.0382852865961454,0.00123122758378231,0.00102011212240336,0.00137909582669079
2,375,0,0.0439190002287025,0.454092825195455,0.0118362013453666,0.0103140684847596,0.0129564387218633,0.00450014507101844,0.0382852865983709,0.00123122758378284,0.00102011212240326,0.00137909582669102
2,380,0,0.0413958825883153,0.457569269255091,0.013671467240022,0.0107874667074645,0.0150042548413969,0.00450014507099796,0.0382852866007265,0.00123122758378339,0.00102011212240318,0.00137909582669132
2,385,0,0.0384473120301405,0.363898512186714,0.0125992263067566,0.011123075769268,0.0144034090707115,0.00450014507097651,0.0382852866032123,0.00123122758378398,0.00102011212240313,0.00137909582669168
2,390,0,0.0504827525388919,0.313903945097444,0.0116372002308973,0.00966183044559864,0.0134473323142061,0.00450014507095407,0.0382852866058282,0.00123122758378459,0.00102011212240309,0.0013790958266921
2,395,0,0.0409781590826741,0.362893249721564,0.0137499383578858,0.0109203923320303,0.0115355394839373,0.00450014507093066,0.0382852866085742,0.00123122758378524,0.00102011212240307,0.00137909582669258
2,400,0,0.045822370486766,0.464974105307251,0.0141134514293615,0.0105765796673475,0.0126075568312284,0.00450014507090627,0.0382852866114504,0.00123122758378591,0.00102011212240306,0.00137909582669312
2,405,0,0.0410950392363906,0.423315000020344,0.0140344507646131,0.011812504794036,0.0108512801171047,0.00450014507088091,0.0382852866144567,0.00123122758378661,0.00102011212240308,0.00137909582669372
2,410,0,0.0390500883847033,0.341101436864165,0.0112037306410035,0.00911573897448294,0.013353020556595,0.00450014507085456,0.0382852866175932,0.00123122758378734,0.00102011212240312,0.00137909582669438
2,415,0,0.0476757732185063,0.423237687804638,0.0119586153933504,0.0107593073472296,0.0147710775085213,0.00450014507082724,0.0382852866208598,0.0012312275837881,0.00102011212240317,0.00137909582669511
2,420,0,0.0466708048420049,0.353711507789794,0.0128280656855502,0.00912143724592911,0.0116549501483712,0.00450014507079894,0.0382852866242565,0.00123122758378889,0.00102011212240325,0.00137909582669589
2,425,0,0.0419442983618476,0.384490731049041,0.0123238410021659,0.0112589761367606,0.0153941576569405,0.00450014507076966,0.0382852866277834,0.0012312275837897,0.00102011212240334,0.00137909582669674
2,430,0,0.0443939082043707,0.355745316843539,0.0108691205033175,0.0101078140327073,0.0153279042913372,0.0045001450707394,0.0382852866314404,0.00123122758379055,0.00102011212240345,0.00137909582669765
2,435,0,0.0438458534690853,0.358110239302963,0.0109348979066144,0.00953044596347165,0.0147701211724859,0.00450014507071462,0.0382852866343225,0.00123122758379122,0.00102011212240352,0.00137909582669832
2,440,0,0.042718658321607,0.379686263346487,0.0110284149903063,0.0104688087122767,0.015967987910393,0.00450014507070275,0.0382852866353884,0.00123122758379147,0.00102011212240345,0.0013790958266984
2,445,0,0.0418066101717904,0.325125440686879,0.0111633258770638,0.00982250230668278,0.0132114959378335,0.00450014507069112,0.0382852866364133,0.00123122758379171,0.00102011212240339,0.00137909582669849
2,450,0,0.0437669874619295,0.398122405130377,0.012835272135504,0.0111380332483315,0.0145057226616307,0.00450014507067974,0.0382852866373973,0.00123122758379195,0.00102011212240333,0.00137909582669858
2,455,0,0.0471935196032024,0.413504406986607,0.0148813418159504,0.00933616650609456,0.0145202774391199,0.0045001450706686,0.0382852866383402,0.00123122758379217,0.00102011212240329,0.00137909582669868
2,460,0,0.0391661594330917,0.353379764504329,0.011182176873635,0.0108589936835467,0.0136976641212134,0.0045001450706577,0.0382852866392422,0.00123122758379238,0.00102011212240324,0.00137909582669878
2,465,0,0.0415649561046958,0.376524412219039,0.0106046140754783,0.0109417852110122,0.0157667954844847,0.00450014507064704,0.0382852866401033,0.00123122758379259,0.00102011212240321,0.00137909582669888
2,470,0,0.0433714611462903,0.439760011712294,0.0122433680137536,0.0103497508550348,0.0149098305179099,0.00450014507063663,0.0382852866409234,0.00123122758379278,0.00102011212240318,0.00137909582669899
2,475,0,0.0423420622820168,0.361923219786692,0.0130726407882295,0.0106450903668253,0.0158122898191488,0.00450014507062646,0.0382852866417025,0.00123122758379296,0.00102011212240315,0.00137909582669911
2,480,0,0.0533204546695947,0.420568814797963,0.0117675196208761,0.0108416288896476,0.0127202996912122,0.00450014507061653,0.0382852866424407,0.00123122758379314,0.00102011212240313,0.00137909582669923
2,485,0,0.0431936251986682,0.387872964156335,0.0122101089675858,0.0106399995369405,0.0137161132876145,0.00450014507060685,0.0382852866431379,0.0012312275837933,0.00102011212240312,0.00137909582669935
2,490,0,0.0433046096127222,0.435814496283255,0.0125742491421605,0.0101727625588926,0.0132224606534565,0.00450014507059741,0.0382852866437941,0.00123122758379345,0.00102011212240311,0.00137909582669947
2,495,0,0.0496989261822605,0.343488642716055,0.0157191760527179,0.0100366999923133,0.0135291004031246,0.00450014507058821,0.0382852866444094,0.0012312275837936,0.00102011212240311,0.00137909582669961
2,500,0,0.0442444561938124,0.297119351308074,0.0143740785150151,0.00863712631812741,0.0129448895905865,0.00450014507057925,0.0382852866449837,0.00123122758379373,0.00102011212240312,0.00137909582669974
2,505,0,0.0411098257715423,0.430279092168758,0.0120241671045808,0.0108909235705415,0.0122338689008524,0.00450014507057053,0.038285286645517,0.00123122758379385,0.00102011212240313,0.00137909582669988
2,510,0,0.0374434075701289,0.298055532398049,0.0139593376768404,0.00752255699002334,0.0128491831387036,0.00450014507056206,0.0382852866460094,0.00123122758379396,0.00102011212240315,0.00137909582670003
2,515,0,0.0420795982877802,0.331139954188659,0.0126563190967334,0.0109315183259968,0.0131636625817616,0.00450014507055383,0.0382852866464608,0.00123122758379406,0.00102011212240317,0.00137909582670017
2,520,0,0.0539888183039488,0.328097996259844,0.012263785318842,0.00918665932961714,0.0143802689395105,0.00450014507054584,0.0382852866468713,0.00123122758379416,0.0010201121224032,0.00137909582670033
2,525,0,0.044342193331025,0.362802315446855,0.0134194502233071,0.0122597098236107,0.013802046976308,0.0045001450705381,0.0382852866472408,0.00123122758379424,0.00102011212240323,0.00137909582670048
2,530,0,0.0428265119989714,0.386256319915633,0.0138821701973712,0.00777775398373097,0.014867358414408,0.0045001450705306,0.0382852866475693,0.00123122758379431,0.00102011212240327,0.00137909582670065
2,535,0,0.0488806522952688,0.333551861173795,0.0126546144943491,0.0102990076239649,0.0137243097259168,0.00450014507052334,0.0382852866478568,0.00123122758379437,0.00102011212240332,0.00137909582670081
2,540,0,0.0455423386037628,0.447921481643093,0.0117003491155076,0.00995687069577316,0.0148021858471425,0.00450014507051632,0.0382852866481034,0.00123122758379442,0.00102011212240337,0.00137909582670098
2,545,0,0.0452300352872788,0.428851172704822,0.011115699378536,0.00823299541841998,0.0134598089844703,0.00450014507050955,0.0382852866483091,0.00123122758379446,0.00102011212240343,0.00137909582670116
2,550,0,0.0379719735340263,0.400351805247033,0.0133246442637619,0.00999738711280291,0.013862719916472,0.00450014507050302,0.0382852866484738,0.0012312275837945,0.0010201121224035,0.00137909582670134
2,555,0,0.049556478631515,0.420994393409536,0.0116509284644101,0.012665025828663,0.0139357424936789,0.00450014507049673,0.0382852866485975,0.00123122758379452,0.00102011212240357,0.00137909582670152
2,560,0,0.0357617313941222,0.35472113428666,0.0121846540036953,0.0102760551914199,0.0144873509570506,0.00450014507049068,0.0382852866486802,0.00123122758379453,0.00102011212240364,0.00137909582670171
2,565,0,0.0457269228860559,0.419236208350439,0.0135140068194807,0.00961937603888448,0.0126619079752036,0.00450014507048488,0.038285286648722,0.00123122758379453,0.00102011212240372,0.0013790958267019
2,570,0,0.0493415810737239,0.434581336271955,0.013580184952255,0.00875770471134824,0.0122835687907035,0.00450014507047932,0.0382852866487228,0.00123122758379452,0.00102011212240381,0.0013790958267021
2,575,0,0.0461713087650888,0.379209098543304,0.0120566867791171,0.0109665952502503,0.0154765588840869,0.004500145070474,0.0382852866486827,0.0012312275837945,0.00102011212240391,0.0013790958267023
2,580,0,0.0475836650017316,0.316827014623948,0.0108932034989385,0.0099163576839554,0.0143925618985006,0.00450014507046892,0.0382852866486016,0.00123122758379447,0.00102011212240401,0.00137909582670251
2,585,0,0.0475385235500251,0.395843237194842,0.0141611452615686,0.00977710070818897,0.0139766505851817,0.00450014507046409,0.0382852866484795,0.00123122758379443,0.00102011212240411,0.00137909582670272
2,590,0,0.0531093787326874,0.421387595762081,0.0109619717398997,0.0102898930383948,0.0140624235400787,0.0045001450704595,0.0382852866483165,0.00123122758379438,0.00102011212240422,0.00137909582670293
2,595,0,0.0434035249052207,0.353174430411067,0.0139576765256022,0.00970606516484862,0.0121973986877196,0.00450014507045784,0.0382852866482469,0.00123122758379436,0.00102011212240426,0.00137909582670301
2,600,0,0.0428296916361749,0.392245612892743,0.0118406571064923,0.0097321554460074,0.0132793112320937,0.00450014507045758,0.0382852866482391,0.00123122758379436,0.00102011212240427,0.00137909582670301
2,605,0,0.0501670828257666,0.419861949551923,0.0141634088498448,0.0120479789488332,0.0144151438620111,0.00450014507045733,0.0382852866482314,0.00123122758379436,0.00102011212240427,0.00137909582670302
2,610,0,0.0465344021074116,0.414909964734788,0.0109205500145348,0.0109439387141194,0.0137930642026403,0.00450014507045708,0.0382852866482236,0.00123122758379435,0.00102011212240427,0.00137909582670302
2,615,0,0.0480100809095881,0.408487539276427,0.013751115334591,0.0117301345951043,0.0129444839060758,0.00450014507045683,0.0382852866482159,0.00123122758379435,0.00102011212240427,0.00137909582670303
2,620,0,0.0440632728263683,0.386820721985836,0.0142888976588694,0.0115606570208008,0.0142425593160611,0.00450014507045658,0.0382852866482082,0.00123122758379435,0.00102011212240427,0.00137909582670303
2,625,0,0.041547707623579,0.375400414493323,0.0152106453326305,0.00959726911323622,0.0107882890440142,0.00450014507045633,0.0382852866482004,0.00123122758379435,0.00102011212240427,0.00137909582670304
2,630,0,0.0469238644244753,0.36903049559648,0.0119374300829051,0.00848004175772672,0.0115206782006393,0.00450014507045608,0.0382852866481927,0.00123122758379435,0.00102011212240427,0.00137909582670304
2,635,0,0.0474817049871486,0.412845429513689,0.0116531828728614,0.0123483264681638,0.0131367839142599,0.00450014507045582,0.0382852866481849,0.00123122758379435,0.00102011212240427,0.00137909582670304
2,640,0,0.042002102091129,0.366557202515033,0.0121350907739741,0.00950565430076432,0.0136718513140084,0.00450014507045557,0.0382852866481772,0.00123122758379434,0.00102011212240428,0.00137909582670305
2,645,0,0.04548011381062,0.407906118166023,0.0108774413919263,0.0126096544812124,0.0125861469896639,0.00450014507045532,0.0382852866481694,0.00123122758379434,0.00102011212240428,0.00137909582670305
2,650,0,0.0370544565639592,0.440304962010801,0.0131460744629984,0.0108210226351261,0.0145367981949789,0.00450014507045507,0.0382852866481617,0.00123122758379434,0.00102011212240428,0.00137909582670306
